product_id,product_name,category,unit_cost,unit_price
1,Phone Model FY-292,Laptops,219.66,297.89
2,Accessorie Model BO-129,Accessories,158.17,299.82
3,Accessorie Model EY-666,Wearables,608.47,1146.29
4,Tablet Model MU-008,Tablets,521.53,1088.89
5,Accessorie Model WH-505,Tablets,137.75,173.77
6,Tablet Model OU-300,Wearables,641.14,1110.63
7,Laptop Model TI-335,Laptops,77.87,125.8
8,Laptop Model LT-168,Wearables,307.62,448.62
9,Wearable Model TS-210,Wearables,483.38,747.32
10,Laptop Model HV-789,Accessories,764.3,1425.44
11,Phone Model FW-625,Tablets,729.06,1249.97
12,Laptop Model BO-326,Accessories,491.9,812.24
13,Tablet Model UB-323,Laptops,100.73,202.39
14,Phone Model HX-982,Accessories,413.55,560.49
15,Wearable Model XI-064,Phones,792.97,1325.58
16,Accessorie Model DQ-909,Accessories,303.84,615.62
17,Laptop Model SH-100,Tablets,624.08,1130.21
18,Accessorie Model HJ-676,Tablets,71.41,91.77
19,Wearable Model NS-472,Phones,216.56,425.85
20,Phone Model QG-046,Tablets,280.02,482.88
21,Accessorie Model MS-849,Phones,261.98,469.06
22,Tablet Model GU-261,Wearables,484.13,989.66
23,Phone Model HY-914,Wearables,313.81,600.16
24,Wearable Model MM-173,Tablets,92.89,167.52
25,Phone Model WT-483,Tablets,34.22,50.58
26,Phone Model CJ-642,Phones,759.18,1243.27
27,Laptop Model VP-737,Wearables,140.86,206.53
28,Wearable Model HK-001,Laptops,621.28,1212.49
29,Wearable Model XG-721,Phones,536.3,1066.57
30,Phone Model PO-114,Wearables,485.85,650.47
31,Accessorie Model DD-744,Laptops,651.05,878.26
32,Phone Model SX-120,Accessories,340.47,615.82
33,Accessorie Model GW-561,Phones,496.26,931.56
34,Accessorie Model QP-002,Phones,436.53,645.42
35,Accessorie Model CN-255,Accessories,306.92,629.93
36,Wearable Model VL-415,Wearables,620.16,1178.5
37,Phone Model DR-166,Wearables,346.56,466.42
38,Accessorie Model PZ-676,Tablets,127.95,182.33
39,Wearable Model SU-212,Laptops,452.54,584.83
40,Tablet Model AL-021,Accessories,242.35,457.27
41,Accessorie Model LN-797,Laptops,726.14,967.66
42,Accessorie Model BR-659,Tablets,758.2,1061.35
43,Accessorie Model HA-277,Wearables,745.77,1173.4
44,Laptop Model QP-701,Tablets,311.69,482.36
45,Laptop Model XV-508,Tablets,195.14,290.14
46,Tablet Model QV-993,Accessories,637.28,843.66
47,Accessorie Model GB-889,Accessories,562.94,745.85
48,Laptop Model QR-375,Tablets,499.97,1007.58
49,Wearable Model ND-628,Wearables,188.21,251.18
50,Phone Model EF-028,Tablets,350.14,664.76
51,Wearable Model UP-217,Accessories,115.04,162.74
52,Accessorie Model GO-540,Wearables,68.99,134.74
53,Wearable Model PF-866,Phones,438.12,774.93
54,Laptop Model CF-779,Wearables,580.46,848.72
55,Phone Model HF-775,Laptops,295.2,505.85
56,Wearable Model AC-016,Wearables,428.32,652.99
57,Wearable Model FY-880,Laptops,415.72,868.65
58,Accessorie Model GJ-994,Tablets,324.55,526.78
59,Laptop Model XD-375,Tablets,217.85,264.6
60,Laptop Model JX-375,Wearables,208.08,372.75
